feature,coefficient
city_GOLD KING CREEK,-0.004925634555376884
city_GOLOVIN,0.011021212917541375
city_GOODNEWS,-0.006966251696681871
city_GOODNEWS BAY,-0.006966251696681876
city_GOOSE BAY,-0.013035962307375977
city_GRAYLING,-0.00985276486971462
city_GREEN ISLAND,-0.004925634555376881
city_GRIDWOOD,-0.004925634555376882
city_GULKANA,0.008115012547848395
city_GUSTAVIS,-0.0049256345553768816
city_GUSTAVUS,0.011729473571066107
city_HAINES,0.029490830062733352
city_HALIBUT COVE,-0.004925634555376882
city_HANNING BAY,-0.00492563455537688
city_HAPPY VALLEY,0.02400082837570752
city_HARDING GLACIER,0.0
city_HARDING LAKE,-0.006966251696681879
city_HARTMAN RIVER,-0.006966251696681869
city_HATCHER PASS,0.0
city_HAY STACK MT.,-0.004925634555376882
city_HAYES RIVER,0.03334806126849101
city_HEALY,-0.004775634904600497
city_HEALY LAKE,-0.00492563455537688
city_HEWITT LAKE,-0.0049256345553768816
city_HIGH LAKE,-0.004925634555376881
city_HINCHINBROOK,-0.004925634555376881
city_HINCHINBROOK IS,0.033348061268490964
city_HOBART BAY,0.01840082136741537
city_HOLITNA RIVER,-0.006966251696681867
city_HOLY CROSS,-0.013035962307375975
city_HOMER,0.006261637720480027
city_HOONAH,0.0006702335894377631
city_HOOPER BAY,-0.009852764869714628
city_HOPE,-0.019090427972868793
city_HOUSTON,0.024000828375707536
city_HUGHES,-0.006966251696681868
city_HULAHULA RIVER,0.033348061268491005
city_HUNTER CREEK,-0.006966251696681877
city_HUSLIA,-0.009852764869714627
city_HYDABURG,-0.004925634555376883
city_HYDER,-0.004925634555376881
city_ICY BAY,0.0
city_ICY POINT,-0.004925634555376882
city_IGIUGIG,-0.020325372084311146
city_IGUSHIK,-0.004925634555376883
city_ILIAMNA,0.016760751509106823
city_ILIAMNA BAY,0.033348061268490985
city_ILIMANA,-0.004925634555376881
city_ILLIAMNA,-0.01101628359764777
city_IOWA RIDGE,-0.00696625169668187
city_ISLAND LAKE,-0.00492563455537688
city_IVANOF BAY,-0.0049256345553768816
city_IVISHAK RIVER,-0.004925634555376882
city_JAGO RIVER,-0.004925634555376883
city_JAKOLOK BAY,-0.004925634555376881
city_JAY CREEK,-0.004925634555376882
city_JOHNSON GLACIER,0.033348061268491005
city_JOSEPH VILLAGE,-0.0049256345553768816
city_JUNEAU,0.03768315147854349
city_KAHILTNA GLAC,-0.004925634555376881
city_KAHILTNA GLAC.,-0.0049256345553768816
city_KAHILTNA GLACIE,-0.006966251696681875
city_KAHILTNA RIVER,-0.004925634555376881
city_KAHLITNA GLAC,-0.0049256345553768816
city_KAKE,-0.009852764869714625
city_KAKEEN,-0.004925634555376881
city_KAKHONAK,0.03334806126849105
city_KAKO MINE STRIP,-0.00492563455537688
city_KAKTOVIC,-0.004925634555376883
city_KAKTOVIK,0.0022695969593180174
city_KALIFORNSKY,-0.0049256345553768816
city_KALSKAG,0.011021212917541368
city_KALTAG,0.033348061268491
city_KAMISHAK BAY,0.0
city_KANEKTOK RIVER,-0.0049256345553768816
city_KANTISHNA,-0.009852764869714616
city_KARLUK,-0.01206834494621881
city_KASAAN,0.03334806126849102
city_KASAAN PENNINSU,-0.004925634555376881
city_KASHVIK BAY,-0.0049256345553768816
city_KASHWITNA,0.0
city_KASHWITNA RIVER,-0.004925634555376881
city_KASIGLUK,-0.012068344946218803
city_KASILOF,0.02271951798343041
city_KASILOFF,-0.0049256345553768816
city_KASITSNA BAY,-0.004925634555376881
city_KASSAN,-0.004925634555376881
city_KASSAN BAY,-0.004925634555376883
city_KATMAI,-0.004925634555376881
city_KATMAI NATIONAL PARK,0.033348061268491005
city_KAVIK,-0.00492563455537688
city_KAYAK ISLAND,-0.004925634555376882
city_KELLY RIVER,-0.004925634555376881
city_KELLY RIVER BAR,-0.004925634555376882
city_KENAI,0.021642359446776588
city_KENAI LAKE,-0.00492563455537688
city_KENNEY LAKE,0.02400082837570754
city_KENNSINGTON,-0.0049256345553768816
city_KETCHIKAN,0.0813770449586931
city_KETCHIKAN INTL.,0.03334806126849102
city_KIANA,0.011021212917541368
city_KIANA CREEK,-0.004925634555376882
city_KIJIK RIVER,-0.004925634555376882
city_KILLEY RIVER,-0.004925634555376882
city_KING COVE,-0.006966251696681869
city_KING MOUNTAIN,-0.004925634555376882
city_KING SALMO,-0.004925634555376882
city_KING SALMON,-0.019767085362967507
city_KIPNUK,-0.011016283597647766
city_KITOI BAY,-0.0049256345553768816
city_KIVALINA,-0.017072403204414534
city_KLAWOCK,0.018400821367415367
city_KLUTINA LAKE,-0.004925634555376881
city_KNIK,-0.0049256345553768816
city_KNIK CLACIER,-0.0049256345553768816
city_KNIK GLACIER,-0.006966251696681871
city_KNIK RIVER,-0.004925634555376881
city_KOBUK,-0.00696625169668187
city_KODIAK,0.025865421492899457
city_KOKHANOK,-0.00985276486971462
city_KOLIGANEK,-0.0007878797408089744
city_KONGIGANAK,-0.013035962307375975
city_KONGIKANK,0.0
city_KOTES LAKES,-0.0049256345553768816
city_KOTLIK,-0.01101628359764777
city_KOTZEBUE,0.015636012697213725
city_KOYUK,0.014277691342691553
city_KOYUKTOLIK,-0.0049256345553768816
city_KOYUKUK,0.014277691342691561
city_KUGURURAK RIVER,-0.0049256345553768816
city_KUKAKLEK,-0.004925634555376881
city_KUKAKLEK LAKE,-0.0049256345553768816
city_KUSATAN,-0.0049256345553768816
city_KUSKALANA PASS,-0.0049256345553768816
city_KUSKATAN RIVER,-0.006966251696681879
city_KUSTATAN RIVER,-0.01101628359764777
city_KVICHAK,-0.0049256345553768816
city_KVICHAK BAY,-0.00492563455537688
city_KWETHLUK,0.01840082136741537
city_KWIGILLINGOK,-0.012068344946218806
city_L. SUSITNA RIV,-0.0049256345553768816
city_LAKE BEVERLEY,0.033348061268490985
city_LAKE CLARK,0.033348061268490964
city_LAKE CLARK PASS,0.033348061268491
city_LAKE CREEK,0.0
city_LAKE GEORGE,-0.008532312826750002
city_LAKE LOUISE,-0.008532312826750004
city_LAKE MINCHUMINA,0.02400082837570751
city_LAKE NIKABUNO,0.0
city_LAKECREEK RIVER,0.033348061268490985
city_LARSEN BAY,0.018400821367415363
city_LARSON BAY,-0.006966251696681868
city_LATOUCHE ISLAND,-0.004925634555376882
city_LEVELOCK,-0.011016283597647766
city_LEWIS RIVER,-0.006966251696681868
city_LIME VILLAGE,0.015588462985312752
city_LISCOME BAY,0.03334806126849099
city_LITTLE DELTA,0.0
city_LITTLE DELTA RV,-0.006966251696681874
city_LITTLE HEART LK,0.0
city_LIVENGOOD,-0.004925634555376882
city_LONG ISLAND,-0.004925634555376881
city_LORRAINE LAKE,-0.004925634555376881
city_MACKEY LAKE,-0.0049256345553768816
city_MADISON CREEK,-0.004925634555376883
city_MALINA BAY,-0.004925634555376882
city_MANLEY,-0.004925634555376882
city_MANLEY HOT SPGS,-0.006966251696681867
city_MANLEY HOT SPNG,0.033348061268491005
city_MANLEY HOT SPRG,-0.006966251696681876
city_MANLEY HOT SPRI,-0.006966251696681876
city_MANLEY HOT SPRINGS,-0.008532312826750004
city_MANLEY HOT SPRN,-0.0049256345553768816
city_MANOKATAK,-0.004925634555376881
city_MANOKOTAK,0.022917342754056352
city_MARSHALL,0.03934226511463312
city_MATANUSKA GLACI,-0.0049256345553768816
city_MATANUSKA GLACIER,-0.00492563455537688
city_MAY CREEK,0.033348061268490936
city_MC CARTHY,-0.004925634555376881
city_MC GRATH,-0.00492563455537688
city_MCCARTHY,0.0039336998790604405
city_MCCARTY,-0.004925634555376879
city_MCCLAREN RIVER,-0.0049256345553768816
city_MCGRATH,0.001644918630588148
city_MCKINLEY,-0.004925634555376882
city_MCKINLEY NAT'L.,-0.004925634555376882
city_MCKINLEY PARK,0.02400082837570753
city_MCKNLEY PARK,-0.004925634555376881
city_MCNEIL COVE,-0.0049256345553768816
city_MCNEIL RIVER,-0.0049256345553768816
city_MEADOW LAKES,-0.004925634555376882
city_MEDFRA,-0.004925634555376882
city_MEKORYUK,0.0022695969593180283
city_MELOZI HOT SPGS,0.0
city_MELOZITNA RIVER,-0.0049256345553768816
city_MELOZZI HOT SPS,-0.0049256345553768816
city_MEMORY LAKE,-0.004925634555376881
city_MENTASTA,-0.0049256345553768816
city_MENTASTA LAKE,-0.0049256345553768816
city_MERRILL FIELD AIRPORT,-0.004925634555376881
city_MERRILL PASS,0.026023774455062428
city_MESHIK LAKE,-0.00492563455537688
city_METLAKATLA,-0.00853231282675
city_MEYERS CHUCK,-0.0049256345553768816
city_MI.70 GLENN HWY,0.0
city_MIDDLE RIVER,-0.00492563455537688
city_MINCHUMINA,-0.006966251696681869
city_MINTO,0.006042340454712326
city_MINTO FLATS,-0.004925634555376882
city_MISSING,0.03334806126849095
city_MISSING ACFT,0.03334806126849097
city_MNT. VILLAGE,-0.004925634555376881
city_MOLLY CREEK,-0.0049256345553768816
city_MONTAGUE ISLAND,-0.0021299517445810853
city_MONTANA CREEK,0.0
city_MOOSE CREEK,0.033348061268490985
city_MOOSE PASS,-0.006966251696681871
city_MOSES POINT,0.0
city_MOSQUITO FLATS,-0.00492563455537688
city_MOSQUITO RIVER,-0.0049256345553768816
city_MOUNT ILIAMNA,-0.004925634555376881
city_MOUNTAIN VILLAG,-0.006966251696681869
city_MOUNTAIN VILLAGE,-0.00492563455537688
city_MOUTH OF THE BIG SUSITNA RIVER,-0.004925634555376882
city_MT MCKINLEY VIL,-0.0049256345553768816
city_MT PLUMMER,-0.00492563455537688
city_MT SPUR,-0.004925634555376882
city_MT VILLAGE,-0.0049256345553768816
city_MT. DEBORAH,-0.004925634555376881
city_MT. RANGE,-0.0049256345553768816
city_MT. TORBET,0.03334806126849098
city_MT. WATANA,-0.004925634555376881
city_MTN. VILLAGE,-0.004925634555376883
city_MULCHATNA RIVER,-0.00696625169668187
city_MURPHY DOME,-0.004925634555376883
city_MYSTIC PASS,-0.004925634555376882
city_N CAPE YAKATAGA,-0.004925634555376882
city_N. CORDOVA,0.0
city_NABESNA,-0.00853231282675001
city_NABESNA GLACIER,-0.004925634555376881
city_NAKED ISLAND,-0.006966251696681868
city_NAKNEK,-0.016113879251735193
city_NANWALEK,0.011021212917541373
city_NAPAKIAK,-0.006966251696681878
city_NAPASKIAK,-0.00985276486971462
city_NEAL LAKE,-0.004925634555376883
city_NEBESNA GLACIER,-0.00492563455537688
city_NELSON ISLAND,-0.004925634555376883
city_NELSON LAGOON,-0.00492563455537688
city_NENANA,-0.017360703249807995
city_NENANA RIVER,0.0
city_NERA KENAI,0.033348061268490964
city_NEW KOLIGANEK,-0.0049256345553768816
city_NEW STUYAHOK,-0.014782888764463065
city_NEWHALEN,0.0
city_NEWTOK,-0.012068344946218803
city_NIGHTMUTE,0.02291734275405635
city_NIKABUNA LAKE,-0.0049256345553768816
city_NIKISKI,-0.010308682056902914
city_NIKOLAI,-0.016344753784095896
city_NIKOLAI CREEK,-0.008532312826750002
city_NIKOLSKI,-0.004925634555376881
city_NINILCHICK,-0.00492563455537688
city_NINILCHIK,0.0006702335894377586
city_NOATAK,-0.013035962307375984
city_NOME,0.03875557273673738
city_NOME CREEK,-0.004925634555376881
city_NONDALTON,0.00854716873121423
city_NOORVIK,-0.008532312826750004
city_NORTH POLE,-0.02834153459463264
city_NORTHWAY,-0.014110600031780138
city_NR ANCHORAGE,-0.004925634555376881
city_NR. MCGRATH,-0.004925634555376881
city_NR. WHITE MOUNT,-0.00492563455537688
city_NR. WRANGELL,-0.00492563455537688
city_NUIQSUT,0.0345335758223614
city_NULATO,0.029633566774498923
city_NUNAPITCHUK,-0.008532312826750002
city_NUNAVAUGALUK LK,-0.004925634555376881
city_NUSHAGAK RIVER,-0.00492563455537688
city_NYAC,0.024000828375707498
city_NYAC MINE,-0.00492563455537688
city_OHIO CREEK,-0.00492563455537688
city_OLD HARBOR,0.014277691342691554
city_OLD MINTO,-0.006966251696681876
city_OLSON CREEK,-0.00492563455537688
city_OPHIR,-0.009852764869714621
city_OSHETNA RIVER,-0.006966251696681869
city_OUZINKIE,0.01427769134269156
city_PALMER,-0.017227690087938462
city_PAMLER,-0.004925634555376882
city_PARKER LAKE,-0.00492563455537688
city_PAXON,0.0
city_PAXSON,-0.018442171286023008
city_PEDRO BAY,-0.009852764869714621
city_PELICAN,0.029633566774498916
city_PERDE BAY,-0.0049256345553768816
city_PERRYVILLE,-0.0049256345553768816
city_PETERSBURG,0.02473400257619258
city_PETERSVILLE,-0.004925634555376882
city_PHILLIPS FIELD,-0.00492563455537688
city_PILOT POINT,-0.008569743666714013
city_PILOT STATION,-0.006966251696681869
city_PINGO RIDGE,-0.004925634555376881
city_PLATINUM,-0.01101628359764777
city_POINT BAKER,-0.004925634555376879
city_POINT BARROW,-0.004925634555376879
city_POINT HOPE,-0.009852764869714628
city_POINT LAY,-0.006966251696681867
city_POINT MACKENZIE,-0.0049256345553768816
city_POINT THOMSON,-0.004925634555376881
city_POLK INLET,-0.0049256345553768816
city_POLLY CREEK,-0.00696625169668187
city_POORMAN,-0.004925634555376881
city_PORCUPINE BUTTE,-0.004925634555376881
city_PORCUPINE LODGE,-0.004925634555376883
